model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
regnetx_008.pycls_in1k,75.054,53.399,57.214,3.8149999999999977,224,7.26
regnetx_008.tv2_in1k,77.294,53.945,56.133,2.1880000000000024,224,7.26
regnetx_016.pycls_in1k,76.936,54.232,59.518,5.286000000000001,224,9.19
regnetx_016.tv2_in1k,79.44,53.307,60.117,6.809999999999995,224,9.19
regnetx_032.pycls_in1k,78.16,53.398,58.281,4.882999999999996,224,15.30
regnety_002.pycls_in1k,70.288,52.174,55.625,3.4510000000000005,224,3.16
regnety_004.pycls_in1k,74.004,55.43,57.656,2.225999999999999,224,4.34
regnety_004.tv2_in1k,75.594,54.297,56.25,1.953000000000003,224,4.34
regnety_006.pycls_in1k,75.274,54.987,57.161,2.1739999999999995,224,6.06
regnety_008.pycls_in1k,76.334,52.383,57.252,4.869,224,6.26
regnety_008_tv.tv2_in1k,78.672,53.867,56.055,2.1880000000000024,224,6.43
regnety_016.pycls_in1k,77.88,53.06,57.123,4.062999999999995,224,11.20
regnety_016.tv2_in1k,80.668,53.36,56.732,3.372,224,11.20
regnety_032.pycls_in1k,78.902,56.888,57.044,0.1559999999999988,224,19.44
regnety_040.ra3_in1k,82.308,54.44,55.586,1.1460000000000008,224,20.65
regnety_080.ra3_in1k,83.166,54.831,55.599,0.7679999999999936,224,39.18
regnety_120.sw_in12k_ft_in1k,84.994,55.508,56.836,1.3279999999999959,224,51.82
regnety_160.lion_in12k_ft_in1k,85.602,56.302,57.578,1.2760000000000034,224,83.59
regnety_320.swag_ft_in1k,86.83,57.266,59.453,2.1870000000000047,384,145.05
regnety_320.tv2_in1k,83.17,54.167,56.888,2.7209999999999965,224,145.05
regnetz_d32.ra3_in1k,83.432,54.818,57.786,2.9680000000000035,256,27.58
repghostnet_050.in1k,66.978,57.044,56.367,-0.6769999999999996,224,2.31
repghostnet_058.in1k,68.938,55.156,55.729,0.5730000000000004,224,2.55
repvgg_a0.rvgg_in1k,72.426,56.055,58.984,2.929000000000002,224,9.11
repvgg_a1.rvgg_in1k,74.474,54.153,59.623,5.469999999999999,224,14.09
repvgg_a2.rvgg_in1k,76.488,54.31,58.216,3.905999999999999,224,28.21
repvgg_b0.rvgg_in1k,75.158,55.378,57.305,1.9269999999999996,224,15.82
repvgg_b1.rvgg_in1k,78.37,53.438,59.544,6.1059999999999945,224,57.42
repvgg_b1g4.rvgg_in1k,77.608,56.602,59.505,2.903000000000006,224,39.97
repvgg_b2.rvgg_in1k,78.788,55.378,60.26,4.881999999999998,224,89.02
repvgg_b2g4.rvgg_in1k,79.396,55.247,58.802,3.5549999999999997,224,61.76
repvgg_b3g4.rvgg_in1k,80.224,57.93,62.656,4.725999999999999,224,83.83
repvgg_d2se.rvgg_in1k,83.55,54.427,59.193,4.765999999999998,320,133.33
repvit_m1_0.dist_450e_in1k,80.43,53.399,54.492,1.0929999999999964,224,7.30
repvit_m1_1.dist_450e_in1k,81.314,53.802,54.87,1.0679999999999978,224,8.80
repvit_m2_3.dist_450e_in1k,83.746,54.922,53.424,-1.4979999999999976,224,23.69
res2net50_14w_8s.in1k,78.142,53.776,57.682,3.905999999999999,224,25.06
res2net50_26w_4s.in1k,77.994,55.026,57.123,2.096999999999994,224,25.70
res2net50_26w_6s.in1k,78.586,52.982,57.292,4.310000000000002,224,37.05
res2net50_26w_8s.in1k,78.95,54.675,58.659,3.9840000000000018,224,48.40
res2net50_48w_2s.in1k,77.528,54.87,57.826,2.956000000000003,224,25.29
