model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
hardcorenas_b.miil_green_in1k,hardcorenas,unknown,53.659,53.959,0.30000000000000426,0.27490644873403014,1.1417417493558772,0.6640000000000015,2.421999999999997
hardcorenas_f.miil_green_in1k,hardcorenas,unknown,54.466,53.398,-1.0679999999999978,0.33529787751590084,0.3758779352691791,0.8210000000000051,0.8979999999999961
hgnet_small.ssld_in1k,hgnet,unknown,54.466,58.997,4.530999999999999,0.42855130640592376,1.3111608935934924,0.9770000000000039,2.8909999999999982
hgnetv2_b0.ssld_stage1_in22k_in1k,hgnetv2,unknown,53.685,56.471,2.7859999999999943,0.6765387399600012,0.9997387436503385,1.600999999999999,2.3830000000000027
hrnet_w18.ms_aug_in1k,hrnet,unknown,56.589,58.138,1.5489999999999995,1.3583966856391987,0.3100784846884209,3.203000000000003,0.7430000000000021
hrnet_w18.ms_in1k,hrnet,unknown,55.898,58.438,2.539999999999999,0.7740113407150797,0.24917508346988276,1.6799999999999997,0.5470000000000041
hrnet_w18_small.ms_in1k,hrnet,unknown,56.432,58.334,1.902000000000001,0.12102433180517227,0.7373223326484968,0.2739999999999938,1.796999999999997
hrnet_w18_small_v2.ms_in1k,hrnet,unknown,55.065,58.164,3.0990000000000038,0.3726132937331501,0.3553993059456734,0.8990000000000009,0.8599999999999994
hrnet_w30.ms_in1k,hrnet,unknown,56.055,59.713,3.6580000000000013,0.4288638737667491,0.5435269593640737,1.0150000000000006,1.171999999999997
hrnet_w32.ms_in1k,hrnet,unknown,55.26,59.896,4.636000000000003,1.1823621366663521,0.5083019662453495,2.6950000000000003,1.131999999999998
hrnet_w40.ms_in1k,hrnet,unknown,56.341,60.443,4.101999999999997,1.3892014492746056,1.235946420989016,3.280999999999999,2.8900000000000006
hrnet_w44.ms_in1k,hrnet,unknown,55.534,60.286,4.7520000000000024,0.4040156762635154,0.32259813321771424,0.9769999999999968,0.7029999999999959
hrnet_w48.ms_in1k,hrnet,unknown,56.966,59.883,2.9170000000000016,1.3090105678208521,0.9585900525714242,2.852000000000004,2.2269999999999968
inception_v3.tf_in1k,inception,unknown,55.716,57.383,1.6670000000000016,0.5489213665605185,1.080332150570162,1.25,2.3829999999999956
inception_v3.tv_in1k,inception,unknown,55.208,58.151,2.943000000000005,0.5786887476585887,0.9431822022635213,1.4059999999999988,2.2659999999999982
lcnet_100.ra2_in1k,lcnet,unknown,55.13,53.594,-1.5360000000000014,0.24158136425551585,0.6589194858925385,0.5470000000000041,1.5619999999999976
legacy_seresnet18.in1k,legacy,unknown,52.747,57.813,5.0660000000000025,0.3225981332177176,0.16896219169453797,0.703000000000003,0.39099999999999824
legacy_seresnet34.in1k,legacy,unknown,55.247,58.724,3.4769999999999968,0.46662785552896163,0.4883989716978887,1.132000000000005,1.0549999999999997
levit_128.fb_dist_in1k,levit,unknown,53.424,52.942,-0.4819999999999993,0.2963290213409575,0.7709934428313182,0.703000000000003,1.875
levit_128s.fb_dist_in1k,levit,unknown,54.284,52.968,-1.3159999999999954,2.1736629606879414,1.2745933556323867,4.844000000000001,3.0860000000000056
