Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
tf_efficientnet_b7.ra_in1k,52.578,51.758,51.797,52.044
tf_efficientnetv2_b3.in21k_ft_in1k,52.109,51.172,50.703,51.328
tf_efficientnetv2_l.in21k_ft_in1k,50.352,51.68,51.602,51.211
tf_mobilenetv3_large_075.in1k,49.102,47.734,47.422,48.086
tf_mobilenetv3_large_minimal_100.in1k,49.492,50.313,52.109,50.638
tf_mobilenetv3_small_075.in1k,47.188,52.031,49.18,49.466
tf_mobilenetv3_small_100.in1k,52.109,46.758,49.688,49.518
tf_mobilenetv3_small_minimal_100.in1k,51.328,50.469,48.789,50.195
tiny_vit_21m_224.in1k,50.273,51.328,50.664,50.755
tiny_vit_5m_224.in1k,52.383,52.188,51.133,51.901
tinynet_c.in1k,50.234,48.711,50.938,49.961
tresnet_l.miil_in1k,51.172,51.094,51.914,51.393
tresnet_m.miil_in1k,49.961,50.273,49.961,50.065
tresnet_m.miil_in21k_ft_in1k,53.867,50.391,48.477,50.912
tresnet_v2_l.miil_in21k_ft_in1k,52.383,52.695,52.344,52.474
tresnet_xl.miil_in1k,50.547,50.391,50.469,50.469
twins_pcpvt_base.in1k,51.211,50.82,54.531,52.187
twins_pcpvt_large.in1k,50.742,49.297,50.391,50.143
twins_pcpvt_small.in1k,52.266,50.391,51.328,51.328
twins_svt_base.in1k,53.594,52.617,52.031,52.747
twins_svt_large.in1k,49.961,50.82,50.703,50.495
twins_svt_small.in1k,50.742,50.156,50.234,50.377
vgg11.tv_in1k,63.32,63.164,62.617,63.034
vgg11_bn.tv_in1k,58.477,58.203,58.086,58.255
vgg13.tv_in1k,58.555,59.688,60.0,59.414
vgg13_bn.tv_in1k,62.266,62.93,61.758,62.318
vgg16.tv_in1k,63.164,64.18,64.141,63.828
vgg16_bn.tv_in1k,58.438,57.109,57.891,57.813
vgg19.tv_in1k,57.852,58.359,57.656,57.956
vgg19_bn.tv_in1k,59.375,59.531,60.312,59.739
visformer_small.in1k,50.0,48.203,49.922,49.375
visformer_tiny.in1k,50.977,48.711,50.742,50.143
vit_base_mci_224.apple_mclip2_dfndr2b,52.93,50.586,53.398,52.305
vit_base_patch14_dinov2.lvd142m,54.062,54.844,54.219,54.375
vit_base_patch14_reg4_dinov2.lvd142m,58.438,59.453,59.18,59.024
